id_student,assessment1752,assessment1753,assessment1754,assessment1755,assessment1756
376439,86.0,77.0,89.0,94.0,89.0
376581,86.0,60.0,62.0,68.0,88.0
380953,73.0,58.0,68.0,75.0,65.0
383254,74.0,69.0,85.0,69.0,81.0
386924,59.0,65.0,80.0,65.0,70.0
386952,67.0,63.0,71.0,64.0,75.0
388722,65.0,54.0,70.0,66.0,64.0
388885,51.0,75.0,54.0,59.0,64.0
390890,75.0,80.0,54.0,,
392756,53.0,25.0,55.0,54.0,38.0
392931,65.0,63.0,75.0,67.0,72.0
393207,68.0,74.0,75.0,80.0,74.0
396872,63.0,62.0,68.0,54.0,60.0
398552,54.0,49.0,47.0,42.0,40.0
401869,55.0,62.0,65.0,68.0,75.0
402470,80.0,74.0,80.0,68.0,61.0
404804,52.0,45.0,52.0,40.0,30.0
405088,85.0,72.0,71.0,72.0,86.0
405961,,,,,
414117,81.0,72.0,70.0,82.0,77.0
415969,67.0,52.0,60.0,,
420087,80.0,76.0,72.0,,
429958,59.0,56.0,59.0,60.0,58.0
441018,54.0,60.0,54.0,65.0,66.0
441888,74.0,64.0,70.0,77.0,68.0
442442,39.0,42.0,,,
444677,91.0,89.0,85.0,89.0,84.0
470588,86.0,,,,
489455,74.0,68.0,69.0,74.0,68.0
494424,,,,,
495284,73.0,59.0,68.0,76.0,57.0
498857,77.0,68.0,72.0,75.0,73.0
508818,73.0,78.0,81.0,73.0,54.0
512460,59.0,78.0,83.0,75.0,67.0
544103,82.0,80.0,80.0,81.0,82.0
550383,77.0,41.0,76.0,79.0,87.0
564450,64.0,53.0,64.0,63.0,52.0
568601,85.0,78.0,,,
572652,71.0,73.0,78.0,68.0,76.0
580389,75.0,75.0,72.0,68.0,67.0
581129,,15.0,65.0,,
588775,85.0,81.0,81.0,86.0,81.0
591774,88.0,75.0,80.0,78.0,60.0
603861,61.0,56.0,58.0,69.0,71.0
606143,78.0,54.0,,,
704156,67.0,68.0,69.0,56.0,70.0
705379,81.0,83.0,82.0,78.0,80.0
721259,,,,,
749412,83.0,61.0,73.0,78.0,65.0
760729,80.0,80.0,81.0,82.0,83.0
905042,64.0,73.0,85.0,80.0,80.0
949618,63.0,63.0,63.0,72.0,48.0
958987,78.0,78.0,75.0,77.0,78.0
968578,62.0,77.0,73.0,72.0,76.0
969076,82.0,62.0,59.0,36.0,
971027,76.0,68.0,73.0,55.0,68.0
978739,59.0,58.0,50.0,58.0,58.0
1035023,73.0,65.0,72.0,68.0,72.0
1105478,90.0,85.0,80.0,82.0,76.0
1352868,66.0,65.0,,,
1401935,45.0,25.0,,,
1402638,77.0,68.0,76.0,80.0,75.0
1414443,58.0,60.0,,,
1456619,,,,,
1465690,85.0,76.0,85.0,87.0,76.0
1472925,61.0,54.0,64.0,62.0,67.0
1488959,67.0,64.0,63.0,64.0,51.0
1518989,78.0,77.0,70.0,70.0,70.0
1618738,84.0,83.0,81.0,83.0,67.0
1620151,85.0,,70.0,,
1626710,82.0,85.0,86.0,85.0,85.0
1640609,83.0,86.0,85.0,85.0,86.0
1686521,68.0,,,,
1729319,80.0,78.0,78.0,82.0,73.0
1746134,83.0,87.0,81.0,83.0,85.0
1758449,65.0,57.0,,,
1763015,,,,,
1765788,57.0,63.0,67.0,74.0,70.0
1801229,79.0,76.0,73.0,78.0,78.0
1801641,72.0,74.0,80.0,85.0,76.0
1847830,83.0,60.0,75.0,73.0,64.0
1860318,57.0,72.0,62.0,63.0,59.0
1889511,72.0,69.0,77.0,78.0,64.0
1889577,72.0,69.0,84.0,75.0,68.0
1894188,76.0,67.0,70.0,70.0,69.0
1938355,82.0,50.0,85.0,84.0,64.0
1942396,50.0,50.0,40.0,65.0,63.0
1970390,78.0,90.0,90.0,80.0,80.0
