id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,Class
306897,F,LondonRegion,ALevelorEquivalent,10-20,0-35,0,60,N,Pass
307061,F,EastMidlandsRegion,HEQualification,10-20,0-35,0,60,N,Pass
307866,M,WestMidlandsRegion,ALevelorEquivalent,70-80,0-35,0,60,N,Pass
311917,M,SouthWestRegion,ALevelorEquivalent,60-70,More55,0,120,N,Pass
312537,M,SouthRegion,PostGraduateQualification,90-100,More55,0,60,N,Distinction
312782,M,SouthRegion,ALevelorEquivalent,90-100,0-35,0,60,N,Pass
318933,F,EastAnglianRegion,HEQualification,80-90,0-35,0,120,N,Pass
319047,F,EastMidlandsRegion,ALevelorEquivalent,50-60,0-35,0,60,N,Pass
321942,M,SouthRegion,HEQualification,90-100,More55,0,60,N,Pass
324002,M,EastAnglianRegion,HEQualification,40-50,35-55,0,60,N,Pass
324084,F,SouthWestRegion,ALevelorEquivalent,10-20,35-55,0,60,N,Pass
324282,M,SouthEastRegion,ALevelorEquivalent,90-100,0-35,0,120,N,Pass
331358,F,SouthRegion,HEQualification,90-100,35-55,0,60,N,Withdrawn
332789,F,EastAnglianRegion,ALevelorEquivalent,60-70,35-55,0,60,N,Pass
333059,M,Scotland,ALevelorEquivalent,20-30,0-35,0,120,N,Pass
333323,M,Scotland,HEQualification,80-90,0-35,0,60,N,Pass
334259,F,LondonRegion,ALevelorEquivalent,50-60,0-35,0,150,N,Fail
334333,F,SouthWestRegion,ALevelorEquivalent,0-10,0-35,0,240,Y,Withdrawn
335764,F,SouthEastRegion,ALevelorEquivalent,20-30,0-35,0,60,N,Withdrawn
336207,M,EastAnglianRegion,ALevelorEquivalent,90-100,0-35,0,120,N,Pass
339972,M,NorthRegion,ALevelorEquivalent,80-90,0-35,0,60,N,Pass
341872,M,EastAnglianRegion,LowerThanALevel,40-50,0-35,0,180,N,Fail
342007,F,WestMidlandsRegion,HEQualification,70-80,0-35,0,60,N,Withdrawn
342514,M,Scotland,LowerThanALevel,50-60,More55,0,60,N,Pass
342972,M,YorkshireRegion,HEQualification,0-10,0-35,0,60,N,Pass
343446,M,Ireland,HEQualification,70-80,35-55,0,120,N,Pass
344282,M,YorkshireRegion,ALevelorEquivalent,10-20,0-35,0,60,N,Fail
345068,M,EastAnglianRegion,ALevelorEquivalent,60-70,0-35,0,180,Y,Pass
345357,M,YorkshireRegion,ALevelorEquivalent,30-40,0-35,0,60,N,Distinction
346025,M,EastAnglianRegion,ALevelorEquivalent,50-60,0-35,0,120,N,Pass
346843,F,Scotland,HEQualification,50-60,35-55,0,120,N,Fail
350188,M,NorthWesternRegion,HEQualification,80-90,35-55,0,60,N,Pass
354858,M,SouthRegion,HEQualification,90-100,35-55,0,120,N,Withdrawn
357668,M,YorkshireRegion,ALevelorEquivalent,10-20,0-35,0,60,N,Fail
364177,M,EastAnglianRegion,LowerThanALevel,70-80,35-55,0,60,N,Fail
365244,F,LondonRegion,ALevelorEquivalent,0-10,0-35,0,120,N,Pass
365642,M,EastAnglianRegion,LowerThanALevel,10-20,35-55,0,60,N,Pass
366483,M,SouthWestRegion,HEQualification,40-50,0-35,0,60,N,Pass
368194,F,SouthWestRegion,ALevelorEquivalent,50-60,0-35,0,120,Y,Pass
368824,M,Wales,HEQualification,50-60,35-55,0,120,N,Fail
368963,M,YorkshireRegion,LowerThanALevel,0-10,0-35,0,180,N,Pass
376439,M,NorthRegion,HEQualification,,0-35,0,60,N,Distinction
376581,F,SouthRegion,ALevelorEquivalent,80-90,35-55,0,60,N,Pass
380953,M,EastMidlandsRegion,ALevelorEquivalent,80-90,0-35,0,60,N,Pass
383254,M,YorkshireRegion,ALevelorEquivalent,90-100,0-35,0,120,N,Pass
386924,M,Ireland,LowerThanALevel,,0-35,0,120,N,Pass
386952,M,YorkshireRegion,ALevelorEquivalent,70-80,0-35,0,120,N,Pass
388722,F,LondonRegion,LowerThanALevel,80-90,35-55,0,60,N,Pass
388885,M,SouthWestRegion,ALevelorEquivalent,90-100,35-55,0,60,N,Pass
390890,M,Scotland,ALevelorEquivalent,0-10,0-35,0,90,N,Withdrawn
392756,M,WestMidlandsRegion,ALevelorEquivalent,70-80,0-35,0,120,N,Fail
392931,F,NorthWesternRegion,ALevelorEquivalent,50-60,35-55,0,120,N,Pass
393207,M,NorthWesternRegion,ALevelorEquivalent,60-70,0-35,0,60,N,Pass
396872,M,YorkshireRegion,HEQualification,50-60,0-35,0,180,N,Pass
398552,M,YorkshireRegion,LowerThanALevel,90-100,0-35,0,240,N,Fail
401869,F,SouthEastRegion,LowerThanALevel,80-90,0-35,0,60,N,Pass
402470,M,SouthWestRegion,LowerThanALevel,50-60,35-55,0,60,N,Pass
404804,M,Wales,LowerThanALevel,20-30,35-55,0,120,N,Pass
405088,M,NorthRegion,ALevelorEquivalent,20-30,0-35,0,120,N,Pass
405961,M,Scotland,ALevelorEquivalent,90-100,0-35,0,240,Y,Withdrawn
414117,M,YorkshireRegion,ALevelorEquivalent,50-60,0-35,0,120,N,Pass
415969,M,WestMidlandsRegion,HEQualification,0-10,35-55,0,90,N,Withdrawn
420087,M,Scotland,ALevelorEquivalent,40-50,0-35,0,60,Y,Fail
429958,F,NorthWesternRegion,ALevelorEquivalent,70-80,0-35,0,60,N,Pass
441018,F,SouthEastRegion,ALevelorEquivalent,70-80,0-35,0,150,N,Pass
441888,M,LondonRegion,ALevelorEquivalent,20-30,0-35,0,120,N,Pass
442442,M,SouthWestRegion,HEQualification,80-90,0-35,0,120,N,Withdrawn
444677,M,LondonRegion,HEQualification,30-40,0-35,0,60,N,Distinction
470588,M,SouthEastRegion,HEQualification,90-100,35-55,0,60,N,Withdrawn
489455,F,SouthWestRegion,ALevelorEquivalent,20-30,0-35,0,60,N,Pass
494424,F,NorthRegion,ALevelorEquivalent,80-90,0-35,0,60,N,Fail
495284,M,SouthEastRegion,HEQualification,80-90,0-35,0,120,N,Pass
498857,M,NorthWesternRegion,HEQualification,80-90,35-55,0,60,N,Pass
508818,M,LondonRegion,ALevelorEquivalent,40-50,0-35,0,120,N,Pass
512460,M,SouthEastRegion,HEQualification,90-100,0-35,0,120,N,Pass
544103,M,NorthWesternRegion,HEQualification,40-50,0-35,0,120,N,Pass
550383,M,SouthEastRegion,HEQualification,60-70,0-35,0,60,N,Pass
564450,M,WestMidlandsRegion,HEQualification,80-90,0-35,0,120,N,Fail
568601,F,Scotland,HEQualification,30-40,0-35,0,60,N,Withdrawn
572652,M,WestMidlandsRegion,HEQualification,70-80,0-35,0,120,N,Pass
580389,M,Ireland,HEQualification,90-100,0-35,0,120,N,Pass
581129,M,EastAnglianRegion,ALevelorEquivalent,30-40,0-35,0,120,N,Fail
588775,M,SouthWestRegion,ALevelorEquivalent,90-100,0-35,0,120,N,Pass
591774,M,SouthRegion,PostGraduateQualification,90-100,35-55,0,60,N,Pass
603861,M,NorthRegion,HEQualification,,More55,0,60,N,Withdrawn
606143,M,Scotland,PostGraduateQualification,90-100,35-55,0,60,N,Fail
704156,M,SouthRegion,HEQualification,90-100,More55,0,120,N,Pass
705379,M,WestMidlandsRegion,ALevelorEquivalent,60-70,More55,0,120,N,Distinction
721259,F,SouthRegion,LowerThanALevel,50-60,More55,0,120,N,Withdrawn
749412,M,SouthRegion,LowerThanALevel,70-80,More55,0,60,N,Pass
760729,M,WestMidlandsRegion,ALevelorEquivalent,60-70,More55,0,60,N,Distinction
905042,F,EastAnglianRegion,ALevelorEquivalent,90-100,35-55,0,60,N,Pass
949618,F,SouthWestRegion,ALevelorEquivalent,50-60,35-55,0,60,N,Pass
958987,M,NorthWesternRegion,HEQualification,40-50,35-55,0,60,N,Pass
968578,F,EastAnglianRegion,ALevelorEquivalent,40-50,35-55,0,60,N,Pass
969076,M,SouthWestRegion,ALevelorEquivalent,80-90,35-55,0,180,N,Withdrawn
971027,F,WestMidlandsRegion,HEQualification,90-100,35-55,0,60,N,Pass
978739,M,SouthRegion,HEQualification,90-100,35-55,0,60,N,Pass
1035023,F,LondonRegion,LowerThanALevel,30-40,35-55,0,60,N,Pass
1105478,M,Scotland,HEQualification,80-90,More55,0,60,N,Pass
1352868,M,YorkshireRegion,ALevelorEquivalent,20-30,35-55,0,60,N,Withdrawn
1401935,M,WestMidlandsRegion,ALevelorEquivalent,70-80,35-55,0,60,N,Fail
1402638,F,EastMidlandsRegion,HEQualification,30-40,35-55,0,60,N,Pass
1414443,F,YorkshireRegion,ALevelorEquivalent,10-20,35-55,0,120,N,Fail
1456619,M,SouthWestRegion,ALevelorEquivalent,90-100,35-55,0,60,N,Withdrawn
1465690,M,WestMidlandsRegion,HEQualification,40-50,35-55,0,120,N,Pass
1472925,F,EastAnglianRegion,LowerThanALevel,40-50,35-55,0,60,Y,Fail
1488959,M,LondonRegion,ALevelorEquivalent,70-80,35-55,0,60,N,Pass
1518989,F,SouthEastRegion,LowerThanALevel,80-90,35-55,0,60,N,Pass
1618738,M,LondonRegion,LowerThanALevel,90-100,35-55,0,60,N,Pass
1620151,M,SouthRegion,HEQualification,90-100,35-55,0,60,N,Fail
1626710,M,NorthWesternRegion,ALevelorEquivalent,60-70,35-55,0,60,N,Distinction
1640609,M,WestMidlandsRegion,ALevelorEquivalent,30-40,35-55,0,60,N,Pass
1686521,F,NorthWesternRegion,LowerThanALevel,50-60,35-55,0,60,N,Withdrawn
1729319,F,Scotland,HEQualification,40-50,35-55,0,60,N,Pass
1746134,M,EastAnglianRegion,ALevelorEquivalent,60-70,35-55,0,60,N,Pass
1758449,M,SouthRegion,LowerThanALevel,30-40,35-55,0,75,N,Withdrawn
1763015,F,Scotland,ALevelorEquivalent,10-20,35-55,0,60,N,Withdrawn
1765788,M,SouthEastRegion,HEQualification,70-80,More55,0,60,N,Pass
1801229,M,Ireland,HEQualification,,35-55,0,60,N,Pass
1801641,M,Scotland,ALevelorEquivalent,30-40,35-55,0,60,N,Pass
1847830,M,SouthWestRegion,LowerThanALevel,40-50,35-55,0,60,N,Pass
1860318,M,SouthWestRegion,LowerThanALevel,40-50,35-55,0,300,Y,Pass
1889511,M,YorkshireRegion,ALevelorEquivalent,50-60,35-55,0,60,N,Pass
1889577,F,SouthRegion,ALevelorEquivalent,70-80,35-55,0,60,Y,Pass
1894188,F,EastMidlandsRegion,ALevelorEquivalent,80-90,0-35,0,60,N,Pass
1938355,M,SouthRegion,ALevelorEquivalent,90-100,35-55,0,60,N,Pass
1942396,F,EastAnglianRegion,LowerThanALevel,40-50,35-55,0,120,Y,Pass
1970390,M,WestMidlandsRegion,LowerThanALevel,0-10,35-55,0,60,N,Withdrawn
