id_student,assessment1752,assessment1753,assessment1754,assessment1755,assessment1756,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability
2578995,75.0,84.0,81.0,78.0,80.0,F,WestMidlandsRegion,ALevelorEquivalent,10-20,0-35,0,60,Y
2586560,75.0,65.0,84.0,77.0,67.0,F,EastAnglianRegion,LowerThanALevel,80-90,35-55,0,60,N
2594139,87.0,73.0,79.0,79.0,62.0,F,SouthWestRegion,ALevelorEquivalent,50-60,0-35,0,60,N
2598871,66.0,66.0,78.0,73.0,80.0,F,EastAnglianRegion,ALevelorEquivalent,80-90,35-55,0,60,N
2599352,80.0,75.0,77.0,77.0,73.0,F,Scotland,ALevelorEquivalent,30-40,0-35,0,120,N
2600688,64.0,72.0,72.0,77.0,65.0,M,WestMidlandsRegion,ALevelorEquivalent,20-30,0-35,0,60,N
2606098,70.0,70.0,71.0,68.0,78.0,F,EastMidlandsRegion,ALevelorEquivalent,90-100,0-35,0,60,N
2613116,68.0,70.0,85.0,84.0,84.0,F,LondonRegion,LowerThanALevel,10-20,35-55,0,60,N
2617002,67.0,53.0,67.0,66.0,71.0,F,YorkshireRegion,ALevelorEquivalent,80-90,0-35,0,60,N
2639540,76.0,78.0,80.0,82.0,81.0,F,NorthWesternRegion,ALevelorEquivalent,90-100,35-55,0,60,N
2639641,66.0,59.0,58.0,70.0,75.0,M,SouthEastRegion,LowerThanALevel,30-40,35-55,0,120,N
2641155,78.0,81.0,79.0,80.0,78.0,M,EastMidlandsRegion,LowerThanALevel,50-60,35-55,0,60,N
2643002,49.0,64.0,59.0,59.0,25.0,F,SouthWestRegion,ALevelorEquivalent,80-90,35-55,0,60,N
2645733,87.0,81.0,83.0,89.0,73.0,F,SouthWestRegion,ALevelorEquivalent,40-50,0-35,0,180,N
2649826,75.0,82.0,85.0,87.0,88.0,M,EastAnglianRegion,LowerThanALevel,60-70,35-55,0,60,N
2650282,83.0,84.0,85.0,85.0,84.0,M,LondonRegion,ALevelorEquivalent,0-10,35-55,0,60,N
2664024,48.0,58.0,64.0,68.0,78.0,M,SouthEastRegion,HEQualification,90-100,35-55,0,60,N
2666246,76.0,76.0,74.0,76.0,78.0,M,NorthWesternRegion,ALevelorEquivalent,90-100,0-35,0,60,N
2669816,67.0,68.0,66.0,50.0,35.0,M,YorkshireRegion,ALevelorEquivalent,90-100,0-35,0,60,N
2671132,59.0,69.0,78.0,69.0,69.0,M,LondonRegion,HEQualification,20-30,More55,0,60,N
2678643,83.0,80.0,66.0,62.0,66.0,F,SouthRegion,ALevelorEquivalent,80-90,0-35,0,60,N
2685865,74.0,77.0,83.0,82.0,77.0,F,EastMidlandsRegion,LowerThanALevel,30-40,0-35,0,60,N
2688067,70.0,62.0,63.0,68.0,76.0,M,EastAnglianRegion,ALevelorEquivalent,10-20,0-35,0,60,N
2689958,86.0,78.0,80.0,82.0,82.0,M,EastAnglianRegion,ALevelorEquivalent,40-50,35-55,0,60,N
2691206,86.0,85.0,78.0,90.0,85.0,F,WestMidlandsRegion,ALevelorEquivalent,50-60,0-35,0,60,N
2694424,89.0,74.0,80.0,94.0,60.0,M,EastAnglianRegion,ALevelorEquivalent,70-80,35-55,0,120,N
2698257,58.0,64.0,76.0,67.0,74.0,M,EastMidlandsRegion,LowerThanALevel,60-70,0-35,0,120,N
